"処理日","処理NO","最終処理NO","品名/内容","相手先","執行所管","執行金額"
"20260403","W2601000215-002","P2601000506-002","ダンボールストッカー","アマゾンジャパン合同会社（全学共通）","中江研究室共通","981"
"20260406","W2601000215-001","P2601000506-001","本棚","アマゾンジャパン合同会社（全学共通）","中江研究室共通","9719"
"20260407","W2601000444-001","P2601000510-001","食器洗剤詰め替え","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","3298"
"20260407","W2601000444-002","P2601000510-002","泡ハンドソープ詰め替え","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","1648"
"20260407","W2601000559-007","W2601000559-007","配送費","株)オフィスバスターズ","中江研究室共通","36300"
"20260408","W2601000548-002","P2601000483-002","傘立て","アマゾンジャパン合同会社（全学共通）","中江研究室共通","2250"
"20260409","W2601000658-001","P2601000515-001","デスクマット","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","8028"
"20260410","W2601000548-001","P2601000483-001","ゴミ箱","アマゾンジャパン合同会社（全学共通）","中江研究室共通","7221"
"20260410","W2601000760-001","P2601003003-006","枕","三井住友カード（株）","中江研究室共通","4580"
"20260413","W2601000726-001","P2601000475-001","掃除機","アマゾンジャパン合同会社（全学共通）","中江研究室共通","26500"
"20260413","W2601000726-002","P2601000475-002","救急セット","アマゾンジャパン合同会社（全学共通）","中江研究室共通","2880"
"20260413","W2601000548-003","P2601000483-003","転倒防止突っ張り棒","アマゾンジャパン合同会社（全学共通）","中江研究室共通","1717"
"20260413","W2601000833-001","P2601000753-001","ワゴン","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","3738"
"20260414","W2601000948-001","P2601000533-001","芳香剤","アマゾンジャパン合同会社（全学共通）","中江研究室共通","1950"
"20260415","W2601000561-001","P2601003003-008","椅子","三井住友カード（株）","中江研究室共通","43500"
"20260416","W2601001193-001","P2601000808-001","マグネット","アマゾンジャパン合同会社（全学共通）","中江研究室共通","789"
"20260416","W2601001193-002","P2601000808-002","マグネット返品代","アマゾンジャパン合同会社（全学共通）","中江研究室共通","500"
"20260417","W2601001273-001","P2601001118-001","指サック","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","197"
"20260421","W2601001537-001","P2601001387-001","ドアストッパー","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","395"
"20260422","W2601000747-001","P2601001137-001","フロアメンテナンス、ガラス清掃","（株）ナイガイ","中江研究室共通","26400"
"20260422","W2601001624-001","P2601001405-001","カーペットローラー","（株）ＭｏｎｏｔａＲＯ","中江研究室共通","318"
